"","order","judge_num","dataset","case_outcome","judge_vote","lower_dir","name","judge_full","circuit","confirm_yr","appt_pres","gender_judge","party_judge","jcs","year_birth","race_judge","jud_experience","minority_judge","dec_year","num_fem","mow_sex","abs_jcs"
"270",4614,3,"title7","Conservative","Conservative","Conservative","Phillips v. Union Pacific RR","Frank, Donovan W.","8",1998,"Clinton","Male","Democrat",-0.77700001001358,1951,"White","No experience","White",2000,0,0,0.916249990463257
"271",4614,2,"title7","Conservative","Conservative","Conservative","Phillips v. Union Pacific RR","Beam, Clarence A.","8",1987,"Reagan","Male","Republican",0.316000014543533,1930,"White","Experienced","White",2000,0,0,0.176750019192696
"272",4661,1,"title7","Conservative","Conservative","Conservative","Stewart v. Adolph Coors Co","Baldock, Bobby Ray","10",1985,"Reagan","Male","Republican",0.24600000679493,1936,"White","Experienced","White",2000,1,0,0.00550000369548798
"273",4661,3,"title7","Conservative","Conservative","Conservative","Stewart v. Adolph Coors Co","Briscoe, Mary Beck","10",1995,"Clinton","Female","Democrat",-0.441000014543533,1947,"White","Experienced","White",2000,1,0,0.681500017642975
"274",4552,1,"title7","Conservative","Conservative","Conservative","Hill v. American General Finance","Posner, Richard Allen","7",1981,"Reagan","Male","Republican",0.00600000005215406,1939,"White","No experience","White",2000,1,0,0.243000000715256
"275",4552,2,"title7","Conservative","Liberal","Conservative","Hill v. American General Finance","Wood, Diane Pamela","7",1995,"Clinton","Female","Democrat",-0.400999993085861,1950,"White","No experience","White",2000,1,0,0.649999976158142
"276",4613,1,"title7","Conservative","Conservative","Conservative","Griffin v. Super-Valu","Wollman, Roger Leland","8",1985,"Reagan","Male","Republican",0.237000003457069,1934,"White","Experienced","White",2000,0,0,0.0977500081062317
"277",4613,2,"title7","Conservative","Conservative","Conservative","Griffin v. Super-Valu","Bowman, Pasco Middleton II","8",1983,"Reagan","Male","Republican",0.14300000667572,1933,"White","No experience","White",2000,0,0,0.00375001132488251
"278",4611,1,"title7","Conservative","Conservative","Conservative","Clark v. Runyon","Murphy, Diana E.","8",1994,"Clinton","Female","Democrat",-0.625999987125397,1934,"White","Experienced","White",2000,1,0,0.765249967575073
"279",4611,2,"title7","Conservative","Conservative","Conservative","Clark v. Runyon","Heaney, Gerald William","8",1966,"Johnson","Male","Democrat",-0.456499993801117,1918,"White","No experience","White",2000,1,0,0.595749974250793
"280",4660,1,"title7","Conservative","Conservative","Conservative","Kelley v. Goodyear Tire","Baldock, Bobby Ray","10",1985,"Reagan","Male","Republican",0.24600000679493,1936,"White","Experienced","White",2000,0,0,0.00550000369548798
"281",4660,3,"title7","Conservative","Conservative","Conservative","Kelley v. Goodyear Tire","Lucero, Carlos F.","10",1995,"Clinton","Male","Democrat",-0.150999993085861,1940,"Hispanic","No experience","Minority",2000,0,0,0.391499996185303
"282",4506,1,"title7","Conservative","Liberal","Liberal","Smith v. Leggett Wire Co","Martin, Boyce Ficklen Jr.","6",1979,"Carter","Male","Democrat",-0.225500002503395,1935,"White","Experienced","White",2000,0,0,0.00199998915195465
"283",4506,3,"title7","Conservative","Conservative","Liberal","Smith v. Leggett Wire Co","Siler, Eugene Edward Jr.","6",1991,"Bush I","Male","Republican",0.361000001430511,1936,"White","Experienced","White",2000,0,0,0.588500022888184
"284",4609,1,"title7","Liberal","Liberal","Liberal","Jackson v. City of St Louis","Arnold, Richard Sheppard","8",1980,"Carter","Male","Democrat",-0.280499994754791,1936,"White","Experienced","White",2000,0,0,0.419749975204468
"285",4609,3,"title7","Liberal","Liberal","Liberal","Jackson v. City of St Louis","Hansen, David Rasmussen","8",1991,"Bush I","Male","Republican",0.293999999761581,1938,"White","Experienced","White",2000,0,0,0.154750004410744
"286",4610,3,"title7","Conservative","Conservative","Conservative","Scroggins v. Univ. of Minnesota","Hansen, David Rasmussen","8",1991,"Bush I","Male","Republican",0.293999999761581,1938,"White","Experienced","White",2000,0,0,0.154750004410744
"287",4610,1,"title7","Conservative","Conservative","Conservative","Scroggins v. Univ. of Minnesota","Loken, James B.","8",1990,"Bush I","Male","Republican",0.124499998986721,1940,"White","No experience","White",2000,0,0,0.0147499963641167
"288",4549,1,"title7","Conservative","Conservative","Conservative","Stockett v. Muncie Ind Transit","Cudahy, Richard Dickson","7",1979,"Carter","Male","Democrat",-0.381999999284744,1926,"White","No experience","White",2000,0,0,0.630999982357025
